altitude,density,u,v
2374.20832512071,0.9849999845935824,14.93455341730461,10.081114911303393
2379.78016955614,0.9845227981913782,14.650853894989064,10.158235411610956
2385.38214380008,0.9839685581461429,14.71554042081558,10.140593442661451
2390.99688882712,0.9834496423686169,14.802782086517693,10.080610630022019
2396.58285367831,0.9829339744186155,15.02221920004411,9.921833202700517
2402.17587386573,0.9824176014542465,15.259088224090437,9.704081088389632
2407.7273193664,0.981871571420519,15.379420006544551,9.417777390787021
2413.27560988244,0.9812884563283482,15.346776726804807,9.06796268178393
2418.85116042662,0.9808120783793708,15.165541502064883,8.856259222733309
2424.39578616707,0.9803030806077059,15.000618553028287,8.962614955535118
2429.90308278401,0.9797623178796684,14.90395671291551,9.148107430353445
2435.5647308302,0.9792756710653941,14.976293012968261,9.519596312156304
2441.14162276889,0.9788363096128977,15.208317964199878,9.554880337996801
2446.75752059155,0.978355590576102,15.536168776795735,9.482141184394377
2452.4446430517,0.9778295528085854,15.605670343661782,9.343719697904632
2458.19401519955,0.9773142083920086,15.667640274330624,9.174667134765862
2464.0199753556,0.9767889564411254,15.425617864070068,8.967151233483573
2469.94260430334,0.9761976061734041,15.201321219257746,9.065946128001114
2475.77115031897,0.975617714716992,15.262284306307418,9.205065479209733
2481.80491930774,0.9750865936148099,15.410719025440585,9.385517395370927
2487.82992427825,0.9745561904941239,15.477552087781378,9.417272876572211
2493.8661933882,0.9739880897088729,15.59792894444099,9.385556122816057
2499.8624172156,0.9734246454590874,15.598896131501927,9.04741212597207
2505.98055075027,0.9728109285972678,15.58596759263986,9.020716668552762
2512.02337472915,0.9722427263334738,15.452925115487327,8.794259902841686
